# Time-averaged data for fix at2
# TimeStep f_mysf1[1] f_mysf2[1]
1000 -1.12264e-15 -1.12264e-15
2000 -1.18144e-10 -1.18144e-10
3000 1.91082e-15 1.91082e-15
4000 5.89341e-15 5.89341e-15
5000 -7.92397e-17 -7.92397e-17
6000 -2.46665e-15 -2.46665e-15
7000 -1.11011e-15 -1.11011e-15
8000 2.7669e-15 2.7669e-15
9000 -2.35909e-16 -2.35909e-16
10000 -6.06496e-15 -6.06496e-15
11000 6.8757e-17 6.8757e-17
12000 -1.91775e-15 -1.91775e-15
13000 -5.10346e-15 -5.10346e-15
14000 -2.01552e-15 -2.01552e-15
15000 1.12829e-15 1.12829e-15
16000 -4.45779e-15 -4.45779e-15
17000 -1.31715e-15 -1.31715e-15
18000 -1.25593e-15 -1.25593e-15
19000 1.96397e-15 1.96397e-15
20000 3.38795e-15 3.38795e-15
21000 -4.95291e-15 -4.95291e-15
22000 -2.94903e-17 -2.94903e-17
23000 4.85047e-15 4.85047e-15
24000 4.16332e-15 4.16332e-15
25000 -2.25408e-15 -2.25408e-15
26000 1.54612e-15 1.54612e-15
27000 -3.6225e-15 -3.6225e-15
28000 -1.31489e-15 -1.31489e-15
29000 2.7975e-15 2.7975e-15
30000 4.64862e-16 4.64862e-16
31000 4.08735e-15 4.08735e-15
32000 -1.99692e-15 -1.99692e-15
33000 -4.79199e-15 -4.79199e-15
34000 2.29668e-15 2.29668e-15
35000 2.77353e-15 2.77353e-15
36000 -1.16753e-15 -1.16753e-15
37000 -1.72256e-15 -1.72256e-15
38000 -3.34049e-15 -3.34049e-15
39000 -7.39388e-15 -7.39388e-15
40000 -3.53184e-15 -3.53184e-15
41000 -2.54836e-15 -2.54836e-15
42000 1.5744e-15 1.5744e-15
43000 -4.02164e-15 -4.02164e-15
44000 5.95509e-16 5.95509e-16
45000 -7.79919e-16 -7.79919e-16
46000 1.07003e-15 1.07003e-15
47000 4.33444e-15 4.33444e-15
48000 -2.60522e-15 -2.60522e-15
49000 6.23928e-15 6.23928e-15
50000 -1.76507e-15 -1.76507e-15
51000 4.68933e-16 4.68933e-16
52000 3.77395e-17 3.77395e-17
53000 -4.1259e-15 -4.1259e-15
54000 6.94575e-16 6.94575e-16
55000 -6.6841e-15 -6.6841e-15
56000 1.64998e-15 1.64998e-15
57000 4.06064e-16 4.06064e-16
58000 -4.33763e-16 -4.33763e-16
59000 -2.70528e-15 -2.70528e-15
60000 -5.18922e-15 -5.18922e-15
61000 1.20431e-15 1.20431e-15
62000 -1.78818e-15 -1.78818e-15
63000 -1.22487e-15 -1.22487e-15
64000 2.44746e-15 2.44746e-15
65000 -2.68138e-15 -2.68138e-15
66000 1.47652e-15 1.47652e-15
67000 -2.63921e-16 -2.63921e-16
