# Time-averaged data for fix myat1
# TimeStep v_kinetic_energy v_potential_energy v_pressure
90 0.560081 -1.70784 0.252907
100 0.749309 -1.55828 0.90062
110 0.867976 -1.46878 1.25506
120 0.918745 -1.45 1.27668
130 0.963443 -1.41765 1.3246
140 0.953632 -1.41695 1.26198
150 0.984004 -1.40575 1.23869
160 0.985563 -1.37112 1.2916
170 0.970627 -1.38874 1.19915
180 0.952692 -1.3979 1.14061
190 0.955309 -1.38588 1.17306
200 0.998806 -1.37035 1.22561
210 1.00433 -1.36857 1.19466
220 0.976685 -1.36287 1.17801
230 1.02585 -1.35305 1.21234
240 1.01653 -1.3783 1.11623
250 1.00792 -1.3421 1.23153
260 1.01781 -1.35602 1.16362
270 1.03041 -1.31805 1.2561
280 1.0615 -1.33107 1.19964
290 1.05124 -1.34455 1.11454
300 1.03489 -1.34359 1.10238
310 1.03241 -1.35746 1.06107
320 1.01585 -1.32788 1.15968
330 0.985619 -1.32691 1.14672
340 1.01424 -1.34295 1.08948
350 0.970329 -1.35177 1.01845
360 0.971601 -1.34856 1.02465
370 0.98148 -1.34617 1.03407
380 0.98273 -1.36849 0.952614
390 1.0323 -1.35702 1.00108
400 1.00091 -1.34379 1.01606
410 1.01332 -1.32578 1.06686
420 1.0391 -1.36286 0.937914
430 1.03395 -1.37037 0.915134
440 1.00616 -1.32236 1.07211
450 1.01596 -1.3443 1.00525
460 0.998511 -1.34776 0.990336
470 0.941376 -1.34548 0.941956
480 0.999942 -1.34709 0.933509
490 0.965681 -1.33672 0.945065
500 1.03775 -1.33144 0.987073
510 0.993664 -1.33361 0.97807
520 1.04068 -1.34282 0.975747
530 1.03356 -1.36254 0.907914
540 0.972768 -1.33918 0.945275
550 0.994502 -1.35117 0.895667
560 0.963834 -1.3593 0.83434
570 0.987826 -1.35737 0.848296
580 1.00455 -1.3485 0.866143
590 1.02691 -1.32985 0.926377
600 0.979145 -1.32749 0.911048
610 1.03075 -1.32985 0.911589
620 0.977445 -1.34065 0.858667
630 0.982585 -1.33857 0.873103
640 0.985668 -1.35162 0.834691
650 1.03354 -1.3572 0.843111
660 1.01093 -1.35704 0.827937
670 0.972135 -1.32847 0.904071
680 0.989536 -1.31165 0.956372
690 0.993263 -1.32298 0.904559
700 0.999819 -1.34963 0.805419
710 0.972149 -1.34355 0.815495
720 0.987829 -1.34281 0.849302
730 0.96349 -1.33255 0.900415
740 0.996759 -1.34311 0.876458
750 0.989196 -1.32509 0.936436
760 1.03362 -1.37132 0.803288
770 1.06258 -1.35854 0.860208
780 1.03459 -1.32607 0.953923
790 1.02104 -1.35684 0.861401
800 0.940188 -1.35139 0.824052
810 0.981876 -1.35862 0.801531
820 0.984542 -1.32434 0.907345
830 0.972554 -1.34252 0.830419
840 0.995593 -1.3374 0.881877
850 0.98385 -1.33895 0.867657
860 0.966625 -1.34088 0.815152
870 1.00468 -1.33562 0.837199
880 0.995257 -1.33137 0.853711
890 1.01823 -1.31588 0.930405
900 1.02756 -1.32846 0.911272
910 1.00716 -1.31986 0.956959
920 1.04238 -1.31299 1.0114
930 1.03869 -1.3311 0.944792
940 1.01774 -1.33245 0.914612
950 0.994015 -1.31851 0.956315
960 1.00832 -1.3012 1.01487
970 1.03076 -1.31057 0.987204
980 0.989737 -1.28252 1.06509
990 1.00024 -1.28517 1.03978
1000 0.999479 -1.28836 1.01563
1010 0.989428 -1.29082 1.00687
1020 1.00028 -1.31818 0.88973
1030 1.0287 -1.34917 0.764284
1040 0.98578 -1.35514 0.715246
1050 0.974663 -1.35801 0.71372
1060 0.987844 -1.36465 0.705387
1070 0.951846 -1.33515 0.808428
1080 1.0084 -1.33217 0.861321
1090 0.9939 -1.34299 0.840757
1100 0.993117 -1.33561 0.87981
1110 0.994054 -1.3502 0.852876
1120 0.99992 -1.33836 0.908547
1130 0.965497 -1.3281 0.916017
1140 0.939099 -1.34923 0.822422
1150 1.01958 -1.36113 0.827607
1160 0.999512 -1.3416 0.897623
1170 1.00899 -1.31761 0.965226
1180 1.02532 -1.34233 0.851332
1190 1.02453 -1.33269 0.875848
1200 1.03675 -1.32526 0.905954
1210 0.993417 -1.34489 0.814199
1220 0.99063 -1.33994 0.832233
1230 0.99998 -1.32855 0.880803
1240 0.997846 -1.35016 0.793629
1250 1.0072 -1.36108 0.749769
1260 0.98964 -1.3588 0.745029
1270 0.999981 -1.34703 0.798172
1280 0.990403 -1.33492 0.843386
1290 0.96468 -1.34513 0.824978
1300 0.968424 -1.36599 0.777237
1310 1.00795 -1.35288 0.86984
1320 1.00508 -1.34267 0.917996
1330 1.00124 -1.337 0.924902
1340 0.995365 -1.34773 0.854768
1350 0.995668 -1.34181 0.842737
1360 0.97978 -1.33003 0.842372
1370 0.99654 -1.32543 0.840848
1380 0.969955 -1.3256 0.822375
1390 0.953799 -1.33575 0.796021
1400 0.953198 -1.32629 0.851167
1410 1.00267 -1.33254 0.866842
1420 0.983759 -1.32311 0.911278
1430 0.981604 -1.31801 0.92934
1440 1.01008 -1.31917 0.915342
1450 0.954629 -1.31881 0.881514
1460 0.998697 -1.33265 0.844913
1470 1.0011 -1.33618 0.832852
1480 0.997629 -1.31209 0.914005
1490 1.01366 -1.31916 0.893585
1500 1.00271 -1.33844 0.790456
1510 0.96796 -1.3471 0.729548
1520 0.978104 -1.34743 0.73167
1530 0.976219 -1.33893 0.783228
1540 1.00962 -1.33624 0.832377
1550 1.01865 -1.3333 0.855613
1560 1.01933 -1.31877 0.912392
1570 0.99623 -1.33365 0.857227
1580 0.973871 -1.31359 0.907554
1590 0.982108 -1.31266 0.898283
1600 0.966421 -1.30925 0.8754
1610 1.01205 -1.32238 0.849713
1620 1.01603 -1.32185 0.870848
1630 1.0102 -1.31457 0.904648
1640 1.02617 -1.28646 1.0071
1650 0.998872 -1.33288 0.823292
1660 0.993904 -1.33025 0.794922
1670 0.942262 -1.34401 0.735652
1680 0.942755 -1.33922 0.765616
1690 1.0239 -1.33538 0.819344
1700 1.00375 -1.32244 0.85759
1710 0.991644 -1.33435 0.814279
1720 1.01414 -1.32839 0.827713
1730 1.00472 -1.33261 0.783752
1740 1.04596 -1.32728 0.802192
1750 1.00275 -1.29918 0.885372
1760 1.02149 -1.3154 0.833439
1770 1.027 -1.3229 0.822802
1780 0.980549 -1.31435 0.856012
1790 0.955477 -1.30303 0.904711
1800 0.975403 -1.30423 0.915087
1810 0.998499 -1.30334 0.926142
1820 1.00388 -1.28546 0.966858
1830 0.997312 -1.2907 0.920728
1840 1.00876 -1.30049 0.855008
1850 0.961761 -1.32375 0.733532
1860 0.94352 -1.34634 0.64797
1870 0.931579 -1.32277 0.726411
1880 0.950976 -1.33196 0.707546
1890 0.993057 -1.34408 0.704592
1900 0.985818 -1.3293 0.765874
1910 0.990226 -1.33137 0.764558
1920 0.963168 -1.30653 0.839763
1930 1.00871 -1.31919 0.80302
1940 0.961635 -1.31704 0.794078
1950 0.990245 -1.32403 0.787822
1960 1.00119 -1.31573 0.835396
1970 0.969759 -1.31249 0.833435
1980 1.00638 -1.32103 0.820558
1990 0.997426 -1.30474 0.863805
2000 1.04155 -1.32202 0.825015
2010 0.993173 -1.31823 0.831041
2020 0.963111 -1.30858 0.85817
2030 0.999483 -1.32771 0.8208
2040 0.981499 -1.31988 0.837848
2050 0.956109 -1.32569 0.811079
2060 0.927802 -1.32292 0.823198
2070 0.967521 -1.31916 0.842065
2080 1.00371 -1.33013 0.798621
2090 0.993052 -1.31798 0.803797
2100 1.00135 -1.32269 0.777162
2110 1.04931 -1.32936 0.790603
2120 1.02818 -1.31382 0.858982
2130 0.99508 -1.30291 0.881502
2140 1.00475 -1.31712 0.856363
2150 1.01324 -1.32069 0.867155
2160 0.973522 -1.33173 0.858819
2170 0.990249 -1.32668 0.901192
2180 0.992962 -1.32855 0.877153
2190 0.993174 -1.34719 0.801217
